┄┄┄┄┄system┄┄┄┄┬┄┄┄┄┄┄memory┄usage┄┄┄┄┄┬┄┄total┄cpu┄usage┄┄┬┄┄net/ib0┄┄ net/ens786f ┄┄┄net/lo┄┄ ┄net/total┄
      time     │ used  free  cach  avai│usr sys idl wai stl│ recv  send  recv  send  recv  send  recv  send
Jun-07 16:14:27│37.0G 52.3G  154G  212G│  0   0 100   0   0│   0     0 ┊   0     0 ┊   0     0 ┊   0     0 
Jun-07 16:15:55│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  17M  156M┊   0     0 ┊  17M  156M
Jun-07 16:15:56│37.0G 52.3G  154G  212G│  1   1  97   0   0│   0     0 ┊  15M  143M┊   0     0 ┊  15M  143M
Jun-07 16:15:57│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  17M  153M┊   0     0 ┊  17M  153M
Jun-07 16:15:58│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  47M  185M┊  32k   32k┊  47M  185M
Jun-07 16:15:59│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  35M  324M┊   0     0 ┊  35M  324M
Jun-07 16:16:00│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  16M  152M┊   0     0 ┊  16M  152M
Jun-07 16:16:01│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  17M  154M┊   0     0 ┊  17M  154M
Jun-07 16:16:02│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  17M  154M┊   0     0 ┊  17M  154M
Jun-07 16:16:03│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  57M  267M┊  17k   17k┊  57M  267M
Jun-07 16:16:04│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  27M  254M┊   0     0 ┊  27M  254M
Jun-07 16:16:05│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  17M  153M┊   0     0 ┊  17M  153M
Jun-07 16:16:06│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  17M  157M┊   0     0 ┊  17M  157M
Jun-07 16:16:07│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  16M  149M┊   0     0 ┊  16M  149M
Jun-07 16:16:08│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  65M  332M┊  17k   17k┊  65M  332M
Jun-07 16:16:09│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  22M  205M┊   0     0 ┊  22M  205M
Jun-07 16:16:10│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  18M  168M┊   0     0 ┊  18M  168M
Jun-07 16:16:11│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  17M  156M┊   0     0 ┊  17M  156M
Jun-07 16:16:12│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  18M  165M┊   0     0 ┊  18M  165M
Jun-07 16:16:13│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  71M  386M┊  17k   17k┊  71M  386M
Jun-07 16:16:14│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  18M  166M┊   0     0 ┊  18M  166M
Jun-07 16:16:15│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  18M  165M┊   0     0 ┊  18M  165M
Jun-07 16:16:16│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  18M  165M┊   0     0 ┊  18M  165M
Jun-07 16:16:17│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  32M  170M┊  17k   17k┊  32M  170M
Jun-07 16:16:18│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  59M  395M┊   0     0 ┊  59M  395M
Jun-07 16:16:19│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  18M  171M┊   0     0 ┊  18M  171M
Jun-07 16:16:20│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  18M  167M┊   0     0 ┊  18M  167M
Jun-07 16:16:21│36.9G 52.3G  154G  212G│  1   0  98   0   0│   0     0 ┊  19M  174M┊   0     0 ┊  19M  174M
Jun-07 16:16:22│36.9G 52.3G  154G  212G│  1   1  98   0   0│   0     0 ┊  53M  206M┊  17k   17k┊  53M  206M
