┄┄┄┄┄system┄┄┄┄┬┄┄┄┄┄┄memory┄usage┄┄┄┄┄┬┄┄total┄cpu┄usage┄┄┬┄┄net/ib0┄┄ ┄┄┄net/lo┄┄ ┄net/total┄
      time     │ used  free  cach  avai│usr sys idl wai stl│ recv  send  recv  send  recv  send
Jul-08 11:29:15│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 478M 4943M┊   0     0 ┊ 478M 4943M
Jul-08 11:29:16│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 531M 4994M┊   0     0 ┊ 531M 4994M
Jul-08 11:29:17│36.2G 42.4G  170G  213G│  2   2  96   0   0│ 478M 4902M┊   0     0 ┊ 478M 4902M
Jul-08 11:29:18│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 531M 4983M┊   0     0 ┊ 531M 4983M
Jul-08 11:29:19│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 531M 4968M┊2272b 2272b┊ 531M 4968M
Jul-08 11:29:20│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 478M 4969M┊   0     0 ┊ 478M 4969M
Jul-08 11:29:21│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 531M 4932M┊   0     0 ┊ 531M 4932M
Jul-08 11:29:22│36.2G 42.4G  170G  213G│  2   1  97   0   0│ 478M 4901M┊   0     0 ┊ 478M 4901M
Jul-08 11:29:23│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 531M 4996M┊   0     0 ┊ 531M 4996M
Jul-08 11:29:24│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 478M 4947M┊   0     0 ┊ 478M 4947M
Jul-08 11:29:25│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 531M 5011M┊   0     0 ┊ 531M 5011M
Jul-08 11:29:26│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 531M 4949M┊   0     0 ┊ 531M 4949M
Jul-08 11:29:27│36.2G 42.4G  170G  213G│  2   1  97   0   0│ 478M 4939M┊   0     0 ┊ 478M 4939M
Jul-08 11:29:28│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 531M 4968M┊   0     0 ┊ 531M 4968M
Jul-08 11:29:29│36.2G 42.4G  170G  213G│  2   1  98   0   0│2251M 5797M┊3512b 3512b┊2251M 5797M
Jul-08 11:29:30│36.2G 42.4G  170G  213G│  1   1  97   0   0│5370M   14G┊2224b 2224b┊5370M   14G
Jul-08 11:29:31│36.2G 42.4G  170G  213G│  1   1  97   0   0│1877M   18G┊   0     0 ┊1877M   18G
Jul-08 11:29:32│36.2G 42.4G  170G  213G│  2   3  96   0   0│1860M   18G┊   0     0 ┊1860M   18G
Jul-08 11:29:33│36.2G 42.4G  170G  213G│  2   1  97   0   0│1550M   15G┊2240b 2240b┊1550M   15G
Jul-08 11:29:34│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 496M 5072M┊   0     0 ┊ 496M 5072M
Jul-08 11:29:35│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 496M 5072M┊   0     0 ┊ 496M 5072M
Jul-08 11:29:36│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 557M 5132M┊   0     0 ┊ 557M 5132M
Jul-08 11:29:37│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 496M 5072M┊   0     0 ┊ 496M 5074M
Jul-08 11:29:38│36.2G 42.4G  170G  213G│  2   1  97   0   0│ 558M 5073M┊   0     0 ┊ 558M 5073M
Jul-08 11:29:39│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 496M 5071M┊   0     0 ┊ 496M 5071M
Jul-08 11:29:40│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 558M 5132M┊   0     0 ┊ 558M 5132M
Jul-08 11:29:41│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 496M 5072M┊   0     0 ┊ 496M 5072M
Jul-08 11:29:42│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 496M 5074M┊   0     0 ┊ 496M 5074M
Jul-08 11:29:43│36.2G 42.4G  170G  213G│  2   1  97   0   0│ 558M 5129M┊   0     0 ┊ 558M 5129M
Jul-08 11:29:44│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 496M 5072M┊   0     0 ┊ 496M 5072M
Jul-08 11:29:45│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 557M 5072M┊2272b 2272b┊ 557M 5072M
Jul-08 11:29:46│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 496M 5072M┊   0     0 ┊ 496M 5072M
Jul-08 11:29:47│36.2G 42.4G  170G  213G│  2   1  97   0   0│ 496M 5037M┊   0     0 ┊ 496M 5037M
Jul-08 11:29:48│36.2G 42.4G  170G  213G│  2   1  97   0   0│ 558M 5053M┊   0     0 ┊ 558M 5053M
Jul-08 11:29:49│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 496M 5064M┊   0     0 ┊ 496M 5064M
Jul-08 11:29:50│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 558M 5072M┊   0     0 ┊ 558M 5072M
Jul-08 11:29:51│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 496M 5072M┊   0     0 ┊ 496M 5072M
Jul-08 11:29:52│36.2G 42.4G  170G  213G│  2   0  98   0   0│ 496M 5074M┊   0     0 ┊ 496M 5074M
Jul-08 11:29:53│36.2G 42.4G  170G  213G│  2   1  97   0   0│ 558M 5134M┊   0     0 ┊ 558M 5134M
Jul-08 11:29:54│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 496M 5012M┊   0     0 ┊ 496M 5012M
Jul-08 11:29:55│36.2G 42.4G  170G  213G│  2   1  98   0   0│ 557M 5076M┊   0     0 ┊ 557M 5076M
